ml_1,mAU_1,ml_2,mAU_2
0.124229,0.418257,0.124326,0.324758
0.124854,0.412714,0.12495,0.322998
0.125478,0.406696,0.125575,0.321381
0.126103,0.401391,0.126199,0.318622
0.126727,0.395533,0.126824,0.315579
0.127352,0.390515,0.127448,0.312599
0.127977,0.384805,0.128073,0.309936
0.128601,0.379611,0.128698,0.307863
0.129226,0.374106,0.129322,0.306513
0.12985,0.368579,0.129947,0.304646
0.130475,0.363849,0.130571,0.302062
0.131099,0.36012,0.131196,0.299887
0.131724,0.356829,0.13182,0.296572
0.132348,0.354215,0.132445,0.293323
0.132973,0.351606,0.133069,0.290894
0.133597,0.349273,0.133694,0.287994
0.134222,0.345849,0.134318,0.285316
0.134846,0.342836,0.134943,0.283082
0.135471,0.340418,0.135568,0.280777
0.136096,0.336653,0.136192,0.279288
0.13672,0.33299,0.136817,0.276914
0.137345,0.33068,0.137441,0.273927
0.137969,0.328279,0.138066,0.271866
0.138594,0.32507,0.13869,0.270256
0.139218,0.321374,0.139315,0.267936
0.139843,0.318397,0.139939,0.265768
0.140467,0.31511,0.140564,0.263721
0.141092,0.311717,0.141188,0.2618
0.141716,0.308209,0.141813,0.25976
0.142341,0.304812,0.142438,0.25848
0.142966,0.302063,0.143062,0.256286
0.14359,0.30003,0.143687,0.253882
0.144215,0.297524,0.144311,0.252038
0.144839,0.29513,0.144936,0.249439
0.145464,0.293848,0.14556,0.24835
0.146088,0.292515,0.146185,0.247416
0.146713,0.291588,0.146809,0.246205
0.147337,0.291191,0.147434,0.245412
0.147962,0.291107,0.148058,0.244876
0.148586,0.290825,0.148683,0.243722
0.149211,0.289266,0.149308,0.24352
0.149836,0.287656,0.149932,0.242377
0.15046,0.284895,0.150557,0.241405
0.151085,0.281554,0.151181,0.240625
0.151709,0.27977,0.151806,0.240912
0.152334,0.27867,0.15243,0.24079
0.152958,0.278191,0.153055,0.241635
0.153583,0.277874,0.153679,0.242609
0.154207,0.277459,0.154304,0.243569
0.154832,0.276796,0.154928,0.244046
0.155456,0.277018,0.155553,0.243813
0.156081,0.27716,0.156178,0.243558
0.156706,0.277598,0.156802,0.241851
0.15733,0.278132,0.157427,0.242411
0.157955,0.278743,0.158051,0.243391
0.158579,0.279311,0.158676,0.243879
0.159204,0.280458,0.1593,0.24416
0.159828,0.281462,0.159925,0.244018
0.160453,0.28327,0.160549,0.244033
0.161077,0.285494,0.161174,0.244956
0.161702,0.286745,0.161798,0.245677
0.162326,0.287686,0.162423,0.245218
0.162951,0.289293,0.163048,0.246386
0.163576,0.291186,0.163672,0.247375
0.1642,0.292875,0.164297,0.24816
0.164825,0.295005,0.164921,0.249863
0.165449,0.296698,0.165546,0.25072
0.166074,0.298348,0.16617,0.250758
0.166698,0.300882,0.166795,0.251073
0.167323,0.303267,0.167419,0.251317
0.167947,0.305746,0.168044,0.252471
0.168572,0.307745,0.168669,0.254772
0.169196,0.31032,0.169293,0.255592
0.169821,0.313159,0.169918,0.256511
0.170446,0.316678,0.170542,0.257719
0.17107,0.319878,0.171167,0.259594
0.171695,0.323614,0.171791,0.261847
0.172319,0.326485,0.172416,0.264298
0.172944,0.329552,0.17304,0.266406
0.173568,0.332759,0.173665,0.267862
0.174193,0.335648,0.174289,0.269444
0.174817,0.337824,0.174914,0.271246
0.175442,0.340444,0.175539,0.27314
0.176066,0.343892,0.176163,0.275364
0.176691,0.346752,0.176788,0.277023
0.177315,0.349807,0.177412,0.278218
0.17794,0.351897,0.178037,0.280049
0.178565,0.354225,0.178661,0.281804
0.179189,0.356026,0.179286,0.283322
0.179814,0.357877,0.17991,0.286016
0.180438,0.361285,0.180535,0.288788
0.181063,0.364337,0.181159,0.290804
0.181687,0.366926,0.181784,0.293329
0.182312,0.368699,0.182409,0.295857
0.182936,0.371088,0.183033,0.298008
0.183561,0.372853,0.183658,0.300638
0.184185,0.373756,0.184282,0.302762
0.18481,0.375179,0.184907,0.304882
0.185435,0.376997,0.185531,0.306757
0.186059,0.379395,0.186156,0.308283
0.186684,0.381989,0.18678,0.311168
0.187308,0.384846,0.187405,0.313652
0.187933,0.387307,0.188029,0.316335
0.188557,0.389706,0.188654,0.318141
0.189182,0.392194,0.189279,0.320179
0.189806,0.394666,0.189903,0.322886
0.190431,0.396548,0.190528,0.325555
0.191055,0.399044,0.191152,0.32817
